x,y,Bio1WHStnd,Bio12WHStnd
-41.41665944,-17.58333112,0.919851934,-0.001997753
-107.5833296,61.91667302,-1.382358452,-0.891608032
-83.91666166,55.08333934,-1.118170375,-0.643401849
-91.7499954,14.91667057,0.180125318,0.996970696
-66.91666077,48.91667235,-0.718114144,0.037322039
-80.41666147,34.41667159,0.406572241,0.154052669
-65.91666072,-39.91666562,0.308445241,-0.938300284
-78.91666139,45.91667219,-0.552053067,-0.072036131
-99.24999579,16.750004,1.365197549,0.176170052
-125.9166638,53.75000593,-0.635083606,-0.719583945
-156.7499988,61.25000632,-0.937012836,-0.605310801
-92.08332875,80.75000734,-2.484400145,-1.132441754
-39.24999266,-12.24999751,0.927400165,-0.338673466
-111.0833297,74.9166737,-2.167374452,-1.168075314
-59.08332703,-20.4166646,1.093461242,-0.204740427
-90.08332864,37.7500051,0.134835933,0.080328061
-77.24999464,46.58333889,-0.589794221,-0.137159535
-42.91665952,-16.24999772,0.746242626,-0.122414614
-40.08332604,-12.58333086,0.972689549,-0.51315504
-68.0833275,-0.083330209,1.138750626,3.08214838
-66.41666074,-14.74999764,1.085913011,0.947820957
-57.08332692,0.083336467,1.199136472,1.634688562
-70.7499943,-36.74999879,-0.159545067,-0.381679488
-64.74999399,-8.749997327,1.153847088,1.188654679
-57.08332692,1.41666987,1.184040011,1.301699079
-61.41666048,-26.24999824,0.859466088,-0.314098596
-120.2499969,47.08333892,-0.378443759,-0.723270175
-71.58332768,6.250003455,1.168943549,1.916070819
-50.24999323,-17.7499978,1.048171857,0.52144697
-142.249998,62.7500064,-1.223845606,-0.885464314
-74.24999448,-46.24999928,-0.310509682,1.580623849
-99.08332911,43.91667209,-0.235027375,-0.661833001
-114.9166633,37.0833384,0.278252318,-1.031684788
-67.58332747,-49.24999944,-0.084062759,-0.964103897
-64.74999399,-3.916663742,1.199136472,1.650662227
-99.41666246,51.41667248,-0.703017682,-0.67903541
-108.7499963,30.58333806,0.353734626,-0.728185149
-101.7499959,27.5833379,0.768887318,-0.733100123
-110.5833297,57.41667279,-0.921916375,-0.728185149
-64.08332729,-33.58333196,0.466958087,-0.288294983
-101.2499959,34.58333827,0.285800549,-0.628656927
-82.2499949,50.25000575,-0.740758836,-0.305497392
-39.74999269,-13.24999756,0.761339088,-0.231772783
-67.41666079,-7.083330574,1.123654165,1.794425214
-95.41666226,73.41667362,-2.069247452,-1.093121962
-41.08332609,-4.416663768,0.957593088,-0.305497392
-77.24999464,54.75000598,-1.17100799,-0.446802892
-115.7499966,56.08333939,-0.816241144,-0.675349179
-92.24999542,31.58333811,0.580181549,0.530048174
-56.24999355,-32.74999858,0.527343934,0.139307748
-142.249998,65.25000653,-1.284231452,-0.98622128
-60.24999375,-27.58333164,0.791532011,0.108589161
-108.4166629,39.91667188,-0.378443759,-0.79576604
